MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
0.0	rn:R00173		(3.1.3.74)			[00750]
0.0	rn:R00174		(2.7.1.35)			[00750]
0.0	rn:R00277		(1.4.3.5)			[00750]
0.0	rn:R00278		(1.4.3.5)			[00750]
0.0	rn:R01710	reversible	(1.4.3.5)			[00750]
0.0	rn:R01711	reversible	(1.4.3.5)			[00750]
0.0	rn:R01909		(2.7.1.35)			[00750]
0.0	rn:R01911		(3.1.3.74)			[00750]
0.0	rn:R02493		(2.7.1.35)			[00750]
0.0	rn:R02494		(3.1.3.74)			[00750]
0.1	rn:R01724	reversible	(6.3.4.21)			[00760]
0.1	rn:R02295	reversible	(2.4.2.1)			[00760]
0.1	rn:R03004		(3.6.1.22)			[00760]
0.1	rn:R03004		(3.6.1.9)			[00760]
0.1	rn:R03005	reversible	(2.7.7.1)			[00760]
0.1	rn:R03005	reversible	(2.7.7.18)			[00760]
0.1	rn:R03346		(3.1.3.5)			[00760]
0.1	rn:R03347		(2.7.1.173)			[00760]
0.10	rn:R02433	reversible	(2.6.1.1)			[00270]
0.10	rn:R07136	reversible	(1.1.1.37)			[00270, 00680]
0.100	rn:R00558		(1.14.13.39)			[00330]
0.101	rn:R03534		(1.1.99.2)			[00650]
0.102	rn:R10092		(4.2.1.1)			[00910]
0.103	rn:R01737		(2.7.1.12)			[00030]
0.104	rn:R01519		(3.1.1.17)			[00030]
0.105	rn:R02731		(3.1.3.46)			[00051]
0.106	rn:R00801		(3.2.1.20)			[00052, 00500]
0.107	rn:R00801		(3.2.1.10)			[00052, 00500]
0.108	rn:R00801		(3.2.1.48)			[00052, 00500]
0.109	rn:R01103		(3.2.1.22)			[00052]
0.11	rn:R02197		(1.4.3.2)			[00280]
0.11	rn:R02199	reversible	(2.6.1.42)			[00280, 00290, 00966]
0.110	rn:R03634		(3.2.1.22)			[00052]
0.111	rn:R01101		(3.2.1.22)			[00052]
0.112	rn:R05549		(3.2.1.22)			[00052]
0.113	rn:R02487		(1.3.8.6)			[00071]
0.114	rn:R08745		(2.3.1.65)			[00120]
0.115	rn:R04811		(2.3.1.176)			[00120]
0.116	rn:R04810		(1.1.1.35)			[00120]
0.117	rn:R04809		(4.2.1.107)			[00120]
0.118	rn:R08740		(1.17.99.3)			[00120]
0.119	rn:R08739		(5.1.99.4)			[00120]
0.12	rn:R02422	reversible	(3.5.3.4)			[00230]
0.120	rn:R08738		(6.2.1.7)			[00120]
0.121	rn:R08760		(1.14.15.15)			[00120]
0.122	rn:R08758		(1.14.15.15)			[00120]
0.123	rn:R04806		(1.14.15.15)			[00120]
0.124	rn:R03720		(2.3.1.65)			[00120, 00430]
0.125	rn:R03719		(2.3.1.176)			[00120]
0.126	rn:R04812		(1.1.1.35)			[00120]
0.127	rn:R04813		(4.2.1.107)			[00120]
0.128	rn:R08735		(1.17.99.3)			[00120]
0.129	rn:R08734		(5.1.99.4)			[00120]
0.13	rn:R07499	reversible	(1.3.1.72)			[00100]
0.130	rn:R08733		(6.2.1.7)			[00120]
0.131	rn:R08761		(1.14.15.15)			[00120]
0.132	rn:R08759		(1.14.15.15)			[00120]
0.133	rn:R04807		(1.14.15.15)			[00120]
0.134	rn:R07204		(1.14.14.139)			[00120]
0.135	rn:R04818|R04819		(1.1.1.50)			[00120]
0.136	rn:R04817		(1.3.1.3)			[00120]
0.137	rn:R04824|R04825		(1.1.1.50)			[00120]
0.138	rn:R04823		(1.3.1.3)			[00120]
0.139	rn:R04826		(1.14.18.8)			[00120]
0.14	rn:R03689	reversible	(1.3.1.72)			[00100]
0.140	rn:R04263		(1.1.1.181)			[00120]
0.141	rn:R01463		(1.14.14.23)			[00120]
0.142	rn:R10242		(1.3.1.22)			[00140]
0.143	rn:R02499		(5.3.3.1)			[00140]
0.144	rn:R02499		(1.1.1.145)			[00140]
0.145	rn:R03406|R03407		(1.1.1.51)			[00140]
0.146	rn:R01837		(5.3.3.1)			[00140]
0.147	rn:R01837		(1.1.1.145)			[00140]
0.148	rn:R08517		(1.14.14.32)			[00140]
0.149	rn:R08518		(1.14.14.32)			[00140]
0.15	rn:R01123	reversible	(5.3.3.2)			[00900]
0.150	rn:R04676		(1.14.15.6)			[00140]
0.151	rn:R04853		(1.14.14.19)			[00140]
0.152	rn:R01454		(1.14.15.6)			[00140]
0.153	rn:R01451|R01456		(1.3.1.21)			[00100]
0.154	rn:R07215		(1.14.19.20)			[00100]
0.155	rn:R04804		(5.3.3.5)			[00100]
0.156	rn:R03353		(5.3.3.5)			[00100]
0.157	rn:R01364		(3.7.1.2)			[00350, 00643]
0.158	rn:R03181		(5.2.1.2)			[00350, 00643]
0.159	rn:R02519		(1.13.11.5)			[00350, 00643]
0.160	rn:R02521		(1.13.11.27)			[00130, 00350]
0.161	rn:R02078		(1.14.18.1)			[00350, 00965]
0.162	rn:R04300		(1.4.3.4)			[00350, 00950]
0.163	rn:R04300		(1.4.3.21)			[00350, 00950]
0.164	rn:R02080		(4.1.1.28)			[00350, 00950, 00965]
0.165	rn:R01815		(1.14.16.2)			[00350]
0.166	rn:R00731		(1.14.18.1)			[00350, 00950, 00965]
0.167	rn:R02382		(1.4.3.4)			[00350]
0.168	rn:R02382		(1.4.3.21)			[00350]
0.169	rn:R00736		(4.1.1.28)			[00350, 00680, 00950]
0.170	rn:R00669		(3.5.1.14)			[00220]
0.171	rn:R00184		(3.6.1.17)			[00230]
0.172	rn:R06604		(4.1.1.97)			[00230]
0.173	rn:R07943		(1.14.14.1)			[00232]
0.174	rn:R07939		(1.14.14.1)			[00232]
0.175	rn:R00357		(1.4.3.2)			[00250]
0.176	rn:R00489		(4.1.1.15)			[00410, 00770]
0.177	rn:R00489		(4.1.1.11)			[00410, 00770]
0.178	rn:R07410|R07407		(1.4.1.21)			[00760]
