source;destination;label
65171;65103;
65172;65171;
65173;65130;
65195;65172;
65175;65174;
65176;65175;
65131;65176;
65177;65131;
65177;65176;
65178;65177;
65132;65178;
65179;65132;
65179;65178;
65180;65179;
65181;65180;
65182;65181;
65187;65186;
65188;65187;
65189;65182;
65189;65183;
65189;65184;
65189;65185;
65189;65188;
65190;65189;
65133;65190;
65133;65189;
65133;65183;
65191;65133;
65191;65190;
65191;65189;
65191;65183;
65192;65191;
65193;65192;
65194;65193;
65198;65197;
65105;65253;
65275;65274;
65278;65277;
65280;65279;
65282;65281;
65284;65283;
65290;65289;
65292;65291;
65294;65290;
65294;65292;
65294;65293;
65139;65295;
65296;65139;
65296;65295;
65298;65297;
65299;65297;
65302;65301;
64462;65753;
65303;65302;
65303;64462;
65304;65300;
65304;65303;
65308;65306;
65308;65307;
65310;64470;
65312;65305;
65312;65308;
65312;65309;
65312;65310;
65312;65311;
65313;65312;
65140;65314;
65315;65140;
65315;65314;
65316;65315;
65245;64071;
65675;65674;
65676;65675;
64047;65676;
65210;65208;
65210;65209;
65214;65213;
65215;65214;
65099;65219;
65220;65099;
65220;65219;
51647;65254;
51647;65255;
65261;51647;
65256;65254;
65256;51647;
65256;65255;
65257;65254;
65257;51647;
65257;65255;
65224;65223;
65123;65224;
65123;65226;
65123;65225;
65123;65227;
65228;65123;
65229;65228;
65230;65227;
65231;65229;
65231;65230;
65232;65231;
65233;65232;
65234;65233;
65235;65234;
65238;65237;
65239;65238;
65241;65240;
65332;65331;
65334;65333;
65335;65334;
65336;65332;
65336;65335;
65343;65342;
65264;65263;
65317;65140;
65317;65314;
65318;65317;
65322;65321;
65322;65198;
65323;65322;
65106;65267;
65106;65268;
65106;65269;
65270;65267;
65270;65268;
65270;65106;
65271;65270;
65272;65270;
65273;65272;
65202;65201;
65204;65203;
65205;65204;
65206;65205;
65207;65206;
43817;65218;
43817;65220;
43817;65172;
43817;65173;
43817;65196;
43817;65344;
43817;65345;
43817;65275;
43817;65296;
43817;65298;
43817;65299;
43817;65266;
43817;65273;
43817;65271;
43817;65105;
43817;65253;
43817;65323;
43817;65318;
43817;65340;
43817;65343;
43817;65210;
43817;64391;
43817;65819;
43817;65211;
43817;65212;
43817;65215;
43817;65235;
43817;65195;
43817;65337;
43817;65338;
43817;65336;
43817;65330;
43817;65239;
43817;65256;
43817;65257;
43817;65261;
43817;65222;
43817;65236;
43817;65134;
43817;65241;
43817;65339;
43817;65341;
43817;65264;
43817;65326;
43817;64421;
43817;65328;
43817;65329;
43817;65327;
43817;65245;
43817;64047;
43817;65316;
43817;65278;
43817;65280;
43817;65282;
43817;65284;
43817;64440;
43817;65285;
43817;65286;
43817;65287;
43817;65288;
43817;65294;
43817;65304;
43817;65313;
43817;65276;
43817;65265;
43817;65324;
43817;65325;
43817;65199;
43817;65202;
43817;65194;
43817;65198;
43817;65207;
43817;65170;
65347;43817;
65348;43817;
65348;65347;
65349;43817;
65349;65347;
65350;65349;
65351;43817;
65352;65351;
65353;43817;
65354;43817;
51642;65353;
51642;65354;
65355;51642;
65093;65352;
65093;65355;
65107;65356;
65357;43817;
65358;64071;
65360;43817;
65361;65360;
65362;43817;
65362;65361;
65363;43817;
65364;65363;
65364;43817;
65367;43817;
65368;65108;
65369;65109;
65370;65110;
65371;65111;
65372;65112;
65373;65113;
65375;43817;
65376;43817;
65376;65198;
65378;65377;
65380;65378;
65380;65379;
65382;65381;
65383;65382;
65386;65385;
65387;65384;
65387;65386;
65388;65387;
65390;65389;
65391;65390;
65393;65392;
65394;65393;
65396;65395;
65397;65396;
65402;65401;
51688;65406;
65407;51688;
65407;65406;
65408;65407;
65409;65408;
65411;65410;
65413;65411;
65413;65412;
65414;65413;
65415;65414;
65416;64191;
65114;65402;
65114;65403;
65114;65404;
65114;65409;
65114;65415;
65114;65416;
65114;65417;
65114;65418;
65419;65114;
65419;65402;
65419;65403;
65419;65404;
65419;65409;
65115;65419;
65115;65420;
65115;65421;
65422;65115;
65422;65419;
65422;65420;
65424;65423;
65425;65114;
65425;65402;
65425;65403;
65425;65404;
65425;65409;
65144;65422;
65144;65424;
65144;65425;
65144;65426;
65427;65144;
65427;65422;
65428;65427;
65429;65428;
65100;65388;
65100;65391;
65100;65394;
65100;65397;
65100;65398;
65100;65399;
65100;65400;
65100;65429;
65430;65100;
65430;65388;
65430;65391;
65430;65394;
65430;65397;
65430;65398;
65430;65399;
65430;65400;
65430;65429;
65145;65430;
65431;65430;
65431;65145;
65146;65431;
65432;65146;
65433;65431;
65433;65146;
65437;65435;
65437;65436;
65438;65437;
65147;65432;
65147;65433;
65440;65439;
65441;65440;
65148;65212;
65148;65442;
65443;65212;
65443;65442;
65443;65148;
65444;65443;
65445;65444;
65446;65445;
65447;65446;
65448;65447;
65449;65448;
65450;65449;
65451;65450;
65149;65211;
65149;65452;
65453;65211;
65453;65452;
65453;65149;
65455;65453;
65456;65455;
65457;65456;
65458;65457;
65459;65458;
65460;65459;
65461;65460;
65462;65461;
65463;65454;
65464;65451;
65465;43817;
65466;65465;
65467;65466;
65468;65467;
65471;65469;
65471;65470;
65472;65471;
65150;65474;
65475;65150;
65477;65476;
65479;65478;
65480;65150;
65481;65479;
65481;65480;
65482;65475;
65482;65477;
65482;65481;
65485;65484;
65486;65482;
65486;65483;
65486;65485;
65487;65486;
65488;65486;
65490;65489;
65095;65468;
65095;65472;
65095;65473;
65095;65487;
65095;65488;
65095;65490;
65095;65491;
65497;65144;
65497;65422;
64268;65520;
65500;64269;
65501;64268;
65501;65500;
65502;65144;
65502;65424;
65502;65425;
65502;65426;
65151;65494;
65151;65495;
65151;65496;
65151;65497;
65151;65498;
65151;65499;
65151;65501;
65151;65502;
65503;65494;
65503;65495;
65503;65496;
65503;65151;
65503;65497;
65504;64251;
65507;65505;
65507;65506;
65508;65504;
65508;65507;
65511;65510;
65512;65510;
65513;65509;
65513;65511;
65513;65512;
65514;65513;
65515;65509;
65515;65511;
65515;65512;
65516;65515;
65517;65114;
65517;65415;
65517;65416;
65517;65417;
65517;65418;
65524;65523;
65526;65525;
65527;43817;
65528;65254;
65528;51647;
65528;65255;
65529;43817;
65529;65261;
65533;65532;
65534;65532;
65535;65532;
65536;65533;
65536;65534;
65536;65535;
65537;65533;
65537;65534;
65537;65535;
65538;65537;
65834;65533;
65834;65534;
65834;65535;
64357;65834;
65539;65536;
65539;65538;
65539;64357;
65541;65531;
65541;65539;
65541;65540;
65542;65541;
65543;65542;
65544;65543;
65546;65545;
65547;65546;
65548;65547;
65549;65548;
65550;65549;
65087;65529;
65087;65530;
65087;65544;
65087;65550;
65087;65528;
65551;43817;
65551;65261;
65552;43817;
65552;65261;
65126;65552;
65126;65551;
65553;51647;
65554;43817;
65555;65553;
65556;43817;
65557;43817;
64577;65559;
64584;64577;
64584;64580;
64584;65561;
64584;65563;
65564;43817;
65565;43817;
65127;65564;
65127;65565;
65567;65127;
65569;43817;
65570;43817;
65570;65337;
65570;65338;
65571;43817;
65571;65337;
65571;65338;
65094;43817;
65094;65569;
65094;65570;
65094;65571;
65572;43817;
65573;43817;
65574;43817;
65575;43817;
65575;65345;
65578;43817;
65579;65152;
65581;65452;
65581;65442;
65581;65580;
65118;65581;
52130;43817;
51698;52130;
65153;43817;
65128;43817;
52131;43817;
52132;52131;
65154;43817;
65583;65155;
65585;65584;
65588;65587;
65590;65588;
65591;65589;
65592;43817;
65593;65375;
65593;65592;
65156;65593;
65595;65155;
65596;65595;
65597;43817;
65597;65337;
65597;65338;
65598;65597;
65601;43817;
65602;65601;
65603;65602;
65605;65604;
65608;65605;
65608;65607;
65041;65612;
65610;43817;
65613;65158;
65615;65095;
65615;65472;
65615;65473;
65615;65487;
65615;65488;
65615;65490;
65615;65491;
65102;65614;
65102;65613;
65102;65615;
65618;65617;
65620;65618;
65620;65619;
65622;65620;
65622;65621;
65625;65622;
65625;65623;
65625;65624;
65627;65626;
65628;65625;
65628;65627;
64656;65630;
64656;65631;
65632;64656;
65635;65634;
65636;64661;
65637;65636;
65638;65632;
65638;65633;
65638;65637;
65638;64665;
65639;65635;
65640;65639;
65641;65638;
65641;65640;
65644;65643;
65645;65644;
65645;64675;
65646;65597;
64681;65650;
65649;65648;
65652;65651;
65654;65652;
65654;43817;
65654;65574;
65654;65653;
64691;65651;
65666;43817;
65667;65666;
65667;43817;
65668;43817;
65669;43817;
65670;43817;
65671;43817;
65672;43817;
65680;65679;
65682;65681;
65683;65682;
65685;65680;
65686;65683;
65686;65684;
65686;65685;
65687;65686;
65688;65687;
65689;64047;
65694;65692;
65695;65690;
65697;65694;
65697;65696;
65698;65693;
65698;65695;
65698;65697;
65700;65699;
65703;43817;
65704;43817;
65705;65703;
65706;43817;
65708;65707;
65709;65708;
65710;65709;
65711;65710;
65160;65711;
65713;65712;
65715;65714;
65717;65715;
65717;65716;
65718;65717;
64742;65713;
64742;65720;
65719;64742;
65722;65721;
65724;65723;
65726;65725;
65727;65726;
65729;65728;
65730;65729;
65731;65727;
65731;65730;
65733;65732;
65735;43817;
65735;65264;
65737;43817;
65737;64421;
65738;65737;
65739;65266;
65740;43817;
65119;65576;
65119;65740;
65741;43817;
65742;43817;
65742;65323;
65744;65325;
65745;65265;
65745;43817;
65746;65120;
65748;65120;
65750;65749;
65751;65747;
65751;65748;
65751;65750;
65757;65754;
65758;65755;
65761;43817;
65762;43817;
65765;65764;
65768;65767;
65768;64791;
65772;65766;
65773;65772;
65773;64802;
65773;64803;
65774;65763;
65774;65768;
65774;65769;
65774;65770;
65774;65771;
65774;65773;
65777;65776;
65777;64809;
65778;65774;
65780;65779;
65780;64816;
65780;64817;
65121;65775;
65121;65777;
65121;65778;
65121;65780;
65781;65775;
65781;65777;
65781;65778;
65781;65780;
65781;65121;
65782;65765;
65783;64822;
64825;64824;
64828;64827;
65785;64825;
65785;64826;
65785;64828;
65786;64832;
65787;65785;
65787;64835;
65787;65786;
65788;65781;
65788;65787;
65789;64838;
65790;64824;
65802;65801;
65803;65802;
65806;65804;
65806;65805;
65807;65806;
65808;65807;
64848;65803;
64848;65808;
65793;65791;
65793;65792;
64083;65793;
64083;64848;
65795;64848;
65795;64083;
65798;65796;
65798;65797;
65799;65798;
65800;65799;
51638;65788;
51638;65795;
51638;65800;
65809;43817;
65810;43817;
65811;43817;
65814;43817;
65815;43817;
65816;43817;
65816;65170;
65163;65818;
65163;65817;
65820;43817;
65092;65820;
65821;65092;
65823;43817;
65825;43817;
65826;43817;
65827;65826;
65829;65828;
65830;65829;
65830;65583;
65832;65533;
65832;65534;
65832;65535;
65833;65832;
65164;65835;
65164;65836;
65837;65164;
65837;65835;
65837;65836;
65843;65839;
65843;65840;
65843;65841;
65843;65842;
65098;65838;
65098;65844;
65098;65843;
65098;65837;
65845;65098;
65845;65843;
65165;65846;
65849;65847;
65851;65116;
65852;65851;
65860;65859;
65861;65860;
65166;65863;
65166;65864;
65867;65865;
65167;65856;
65869;65856;
65869;65167;
65873;65857;
65873;65871;
65888;65887;
65889;65888;
65890;65886;
65891;65881;
65892;65882;
65892;65885;
65893;65874;
65894;65875;
65042;65873;
65042;65872;
65043;65876;
65896;65879;
65046;65044;
65046;65045;
65046;65899;
65898;64964;
65902;64969;
65908;65906;
65908;65907;
65050;65049;
65052;65051;
65912;65911;
65914;65912;
65914;65913;
65919;65918;
65923;64993;
65926;65925;
65927;65926;
64999;65924;
64999;65927;
65000;65925;
65928;65924;
65928;65927;
65931;43817;
65932;65931;
65933;65930;
65933;65932;
65934;65933;
65936;65935;
65937;65936;
65938;65129;
65940;65938;
65940;65939;
65941;65940;
65943;65129;
65942;65940;
64084;65937;
64084;65941;
64084;65943;
64084;65942;
65017;64084;
65017;65937;
65017;65941;
65944;65017;
65945;65944;
65946;65169;
65947;65169;
65948;65930;
