source;destination;label
65171;65103;
65172;65171;
65173;65130;
65195;65172;
65175;65174;
65176;65175;
65131;65176;
65177;65131;
65177;65176;
65178;65177;
65132;65178;
65179;65132;
65179;65178;
65180;65179;
65181;65180;
65182;65181;
65187;65186;
65188;65187;
65189;65182;
65189;65183;
65189;65184;
65189;65185;
65189;65188;
65190;65189;
65133;65190;
65133;65189;
65133;65183;
65191;65133;
65191;65190;
65191;65189;
65191;65183;
65192;65191;
65193;65192;
65194;65193;
65198;65197;
65202;65201;
65204;65203;
65205;65204;
65206;65205;
65207;65206;
65210;65208;
65210;65209;
65214;65213;
65215;65214;
65099;65219;
65220;65099;
65220;65219;
65221;65091;
65224;65223;
65123;65224;
65123;65226;
65123;65225;
65123;65227;
65228;65123;
65229;65228;
65230;65227;
65231;65229;
65231;65230;
65232;65231;
65233;65232;
65234;65233;
65235;65234;
65238;65237;
65239;65238;
65241;65240;
65242;65135;
65104;65242;
65243;65242;
65243;65104;
65244;65243;
65245;65136;
65247;65246;
65248;65246;
65249;65248;
65250;65249;
65251;65250;
65252;65251;
65105;65253;
65137;65254;
65137;65255;
65256;65254;
65256;65137;
65256;65255;
65257;65254;
65257;65137;
65257;65255;
65138;65256;
65138;65257;
65258;65138;
65259;65138;
65260;65137;
65261;65260;
65262;65256;
65262;65138;
65262;65257;
65264;65263;
65106;65267;
65106;65268;
65106;65269;
65270;65267;
65270;65268;
65270;65106;
65271;65270;
65272;65270;
65273;65272;
65275;65274;
65278;65277;
65280;65279;
65282;65281;
65284;65283;
65290;65289;
65292;65291;
65294;65290;
65294;65292;
65294;65293;
65139;65295;
65296;65139;
65296;65295;
65298;65297;
65299;65297;
65302;65301;
65303;65302;
65304;65300;
65304;65303;
65308;65306;
65308;65307;
65312;65305;
65312;65308;
65312;65309;
65312;65310;
65312;65311;
65313;65312;
65140;65314;
65315;65140;
65315;65314;
65316;65315;
65317;65140;
65317;65314;
65318;65317;
65320;65319;
65322;65321;
65322;65198;
65323;65322;
65332;65331;
65334;65333;
65335;65334;
65336;65332;
65336;65335;
65343;65342;
41891;65218;
41891;65220;
41891;65344;
41891;65345;
41891;65343;
41891;65210;
41891;65196;
41891;65211;
41891;65212;
41891;65215;
41891;65235;
41891;65337;
41891;65338;
41891;65336;
41891;65330;
41891;65221;
41891;65326;
41891;65320;
41891;65328;
41891;65329;
41891;65327;
41891;65105;
41891;65253;
41891;65323;
41891;65318;
41891;65266;
41891;65273;
41891;65275;
41891;65296;
41891;65298;
41891;65299;
41891;65278;
41891;65280;
41891;65282;
41891;65284;
41891;65285;
41891;65286;
41891;65287;
41891;65288;
41891;65294;
41891;65304;
41891;65313;
41891;65276;
41891;65271;
41891;65265;
41891;65316;
41891;65324;
41891;65325;
41891;65264;
41891;65258;
41891;65259;
41891;65261;
41891;65262;
41891;65245;
41891;65247;
41891;65252;
41891;65244;
41891;65239;
41891;65222;
41891;65236;
41891;65134;
41891;65241;
41891;65216;
41891;65217;
41891;65339;
41891;65340;
41891;65341;
41891;65172;
41891;65173;
41891;65200;
41891;65199;
41891;65202;
41891;65194;
41891;65195;
41891;65198;
41891;65207;
41891;65170;
65346;41891;
65347;41891;
65348;65346;
65348;65347;
65349;65346;
65349;65347;
65350;65349;
65351;41891;
65352;65351;
65353;41891;
65353;65221;
65354;41891;
65096;65353;
65096;65354;
65355;65096;
65093;65352;
65093;65355;
65107;65356;
65357;41891;
65360;41891;
65361;65360;
65362;41891;
65362;65320;
65362;65361;
65363;41891;
65363;65320;
65364;65363;
65364;41891;
65364;65320;
65367;41891;
65368;65108;
65369;65109;
65370;65110;
65371;65111;
65372;65112;
65373;65113;
65375;41891;
65376;41891;
65376;65198;
65378;65377;
65380;65378;
65380;65379;
65382;65381;
65383;65382;
65386;65385;
65387;65384;
65387;65386;
65388;65387;
65390;65389;
65391;65390;
65393;65392;
65394;65393;
65396;65395;
65397;65396;
65402;65401;
65407;65406;
65408;65407;
65409;65408;
65411;65410;
65413;65411;
65413;65412;
65414;65413;
65415;65414;
65114;65402;
65114;65403;
65114;65404;
65114;65409;
65114;65415;
65114;65416;
65114;65417;
65114;65418;
65419;65114;
65419;65402;
65419;65403;
65419;65404;
65419;65409;
65115;65419;
65115;65420;
65115;65421;
65422;65115;
65422;65419;
65422;65420;
65424;65423;
65425;65114;
65425;65402;
65425;65403;
65425;65404;
65425;65409;
65144;65422;
65144;65424;
65144;65425;
65144;65426;
65427;65144;
65427;65422;
65428;65427;
65429;65428;
65100;65388;
65100;65391;
65100;65394;
65100;65397;
65100;65398;
65100;65399;
65100;65400;
65100;65429;
65430;65100;
65430;65388;
65430;65391;
65430;65394;
65430;65397;
65430;65398;
65430;65399;
65430;65400;
65430;65429;
65145;65430;
65431;65430;
65431;65145;
65146;65431;
65432;65146;
65433;65431;
65433;65146;
65437;65435;
65437;65436;
65438;65437;
65147;65432;
65147;65433;
65440;65439;
65441;65440;
65148;65212;
65148;65442;
65443;65212;
65443;65442;
65443;65148;
65444;65443;
65445;65444;
65446;65445;
65447;65446;
65448;65447;
65449;65448;
65450;65449;
65451;65450;
65149;65211;
65149;65452;
65453;65211;
65453;65452;
65453;65149;
65455;65453;
65456;65455;
65457;65456;
65458;65457;
65459;65458;
65460;65459;
65461;65460;
65462;65461;
65463;65454;
65464;65451;
65465;41891;
65466;65465;
65467;65466;
65468;65467;
65471;65469;
65471;65470;
65472;65471;
65150;65474;
65475;65150;
65477;65476;
65479;65478;
65480;65150;
65481;65479;
65481;65480;
65482;65475;
65482;65477;
65482;65481;
65485;65484;
65486;65482;
65486;65483;
65486;65485;
65487;65486;
65488;65486;
65490;65489;
65095;65468;
65095;65472;
65095;65473;
65095;65487;
65095;65488;
65095;65490;
65095;65491;
65497;65144;
65497;65422;
65501;65500;
65502;65144;
65502;65424;
65502;65425;
65502;65426;
65151;65494;
65151;65495;
65151;65496;
65151;65497;
65151;65498;
65151;65499;
65151;65501;
65151;65502;
65503;65494;
65503;65495;
65503;65496;
65503;65151;
65503;65497;
65507;65505;
65507;65506;
65508;65504;
65508;65507;
65511;65510;
65512;65510;
65513;65509;
65513;65511;
65513;65512;
65514;65513;
65515;65509;
65515;65511;
65515;65512;
65516;65515;
65517;65114;
65517;65415;
65517;65416;
65517;65417;
65517;65418;
65524;65523;
65526;65525;
65527;41891;
65528;65254;
65528;65137;
65528;65255;
65529;41891;
65529;65259;
65529;65261;
65533;65532;
65534;65532;
65535;65532;
65536;65533;
65536;65534;
65536;65535;
65537;65533;
65537;65534;
65537;65535;
65538;65537;
65539;65536;
65539;65538;
65541;65531;
65541;65539;
65541;65540;
65542;65541;
65543;65542;
65544;65543;
65546;65545;
65547;65546;
65548;65547;
65549;65548;
65550;65549;
65087;65529;
65087;65530;
65087;65544;
65087;65550;
65087;65528;
65551;41891;
65551;65259;
65551;65261;
65552;41891;
65552;65259;
65552;65261;
65126;65552;
65126;65551;
65553;65260;
65554;41891;
65555;65553;
65556;41891;
65557;41891;
65564;41891;
65565;41891;
65127;65564;
65127;65565;
42370;41891;
42371;42370;
42372;41891;
41902;42371;
41902;42372;
65566;41902;
65117;65566;
65567;65127;
65569;41891;
65570;41891;
65570;65337;
65570;65338;
65571;41891;
65571;65337;
65571;65338;
65094;41891;
65094;65569;
65094;65570;
65094;65571;
65572;41891;
65573;41891;
65574;41891;
65575;41891;
65575;65345;
65577;41891;
65577;65340;
65578;41891;
65579;65152;
65581;65452;
65581;65442;
65581;65580;
65118;65581;
52130;41891;
51698;52130;
65153;41891;
65128;41891;
52131;41902;
52132;52131;
65154;41891;
65583;65155;
65585;65584;
65588;65587;
65590;65588;
65591;65589;
65592;41891;
65593;65375;
65593;65592;
65156;65593;
65595;65155;
65596;65595;
65597;41891;
65597;65337;
65597;65338;
65598;65597;
65601;41891;
65602;65601;
65603;65602;
65605;65604;
65608;65605;
65608;65607;
65610;41891;
65613;65158;
65615;65095;
65615;65472;
65615;65473;
65615;65487;
65615;65488;
65615;65490;
65615;65491;
65102;65614;
65102;65613;
65102;65615;
65618;65617;
65620;65618;
65620;65619;
65622;65620;
65622;65621;
65625;65622;
65625;65623;
65625;65624;
65627;65626;
65628;65625;
65628;65627;
65635;65634;
65637;65636;
65638;65632;
65638;65633;
65638;65637;
65639;65635;
65640;65639;
65641;65638;
65641;65640;
65644;65643;
65645;65644;
65646;65597;
65649;65648;
65652;65651;
65654;65652;
65654;41891;
65654;65574;
65654;65653;
65666;41891;
65667;65666;
65667;41891;
65668;41891;
65669;41891;
65670;41891;
65671;41891;
65672;41891;
65673;65252;
65675;65674;
65676;65675;
65677;65673;
65097;65247;
65097;65677;
65097;65676;
65680;65679;
65682;65681;
65683;65682;
65685;65680;
65686;65683;
65686;65684;
65686;65685;
65687;65686;
65688;65687;
65689;65247;
65689;65097;
65689;65677;
65694;65692;
65695;65690;
65697;65694;
65697;65696;
65698;65693;
65698;65695;
65698;65697;
65700;65699;
65705;65703;
65706;41891;
65708;65707;
65709;65708;
65710;65709;
65711;65710;
65160;65711;
65713;65712;
65715;65714;
65717;65715;
65717;65716;
65718;65717;
65722;65721;
65724;65723;
65726;65725;
65727;65726;
65729;65728;
65730;65729;
65731;65727;
65731;65730;
65733;65732;
65735;41891;
65735;65264;
65737;41891;
65738;65737;
65739;65266;
65740;41891;
65119;65576;
65119;65740;
65741;41891;
65742;41891;
65742;65323;
65744;65325;
65745;65265;
65745;41891;
65746;65120;
65748;65120;
65750;65749;
65751;65747;
65751;65748;
65751;65750;
65757;65754;
65758;65755;
65761;41891;
65762;41891;
65765;65764;
65768;65767;
65772;65766;
65773;65772;
65774;65763;
65774;65768;
65774;65769;
65774;65770;
65774;65771;
65774;65773;
65777;65776;
65778;65774;
65780;65779;
65121;65775;
65121;65777;
65121;65778;
65121;65780;
65781;65775;
65781;65777;
65781;65778;
65781;65780;
65781;65121;
65782;65765;
65787;65785;
65787;65786;
65788;65781;
65788;65787;
65793;65791;
65793;65792;
65794;65793;
65161;65794;
65795;65161;
65798;65796;
65798;65797;
65799;65798;
65800;65799;
65088;65788;
65088;65795;
65088;65800;
65802;65801;
65803;65802;
65806;65804;
65806;65805;
65807;65806;
65808;65807;
65809;41891;
65810;41891;
65811;41891;
65814;41891;
65815;41891;
65816;41891;
65816;65170;
65163;65818;
65163;65817;
65090;65819;
65090;65346;
65090;65662;
65820;65090;
65092;65820;
65821;65092;
65822;41891;
65822;65195;
65122;65822;
65823;65122;
65824;65122;
65825;65824;
65827;65826;
65829;65828;
65830;65829;
65830;65583;
65832;65533;
65832;65534;
65832;65535;
65833;65832;
65834;65533;
65834;65534;
65834;65535;
65164;65835;
65164;65836;
65837;65164;
65837;65835;
65837;65836;
65843;65839;
65843;65840;
65843;65841;
65843;65842;
65098;65838;
65098;65844;
65098;65843;
65098;65837;
65845;65098;
65845;65843;
65165;65846;
65849;65847;
65851;65116;
65852;65851;
65860;65859;
65861;65860;
65166;65863;
65166;65864;
65867;65865;
65167;65856;
65869;65856;
65869;65167;
65873;65857;
65873;65871;
65888;65887;
65889;65888;
65890;65886;
65891;65881;
65892;65882;
65892;65885;
65893;65874;
65894;65875;
65896;65879;
65908;65906;
65908;65907;
65912;65911;
65914;65912;
65914;65913;
65919;65918;
65926;65925;
65927;65926;
65928;65924;
65928;65927;
65931;41891;
65932;65931;
65933;65930;
65933;65932;
65934;65933;
65936;65935;
65937;65936;
65938;65129;
65940;65938;
65940;65939;
65941;65940;
65942;65940;
65168;65937;
65168;65941;
65168;65942;
65943;65129;
65945;65944;
65946;65169;
65947;65169;
65948;65930;
65948;65932;
65949;65948;
65953;65139;
65953;65295;
65954;65278;
65954;65280;
65954;65282;
65954;65284;
65954;65285;
65954;65286;
65954;65287;
65954;65288;
65954;65294;
65954;41891;
65954;65304;
65954;65313;
65959;65297;
