source;destination;label
8461;8460;
8463;8462;
8464;8463;
8465;8461;
8465;8464;
8466;8465;
8467;65124;
8468;8467;
8469;65125;
8470;8469;
8471;8468;
8471;8470;
8348;8471;
8472;8348;
8473;8472;
8474;8473;
8475;65124;
8476;8475;
8477;8476;
8478;8477;
8479;8478;
8480;8477;
8481;8479;
8481;8480;
8482;8481;
8484;8483;
8485;8484;
8486;8485;
8487;8486;
8488;8374;
8491;8490;
8369;8489;
8369;8491;
8492;8369;
8496;8495;
8497;8496;
64130;8497;
8502;8501;
8504;8503;
8505;8502;
8505;8504;
8507;8506;
8508;8503;
8509;8507;
8509;8508;
8510;8505;
8510;8509;
8511;8510;
8341;8511;
8341;8512;
65366;8341;
8515;8514;
8517;8516;
8520;8517;
8520;8518;
8520;8519;
65739;65266;
63239;65739;
63240;63239;
65197;63240;
65198;65197;
65199;8375;
8336;65253;
8336;8530;
8336;8531;
8536;8535;
8537;8536;
8538;8537;
8540;8539;
8541;8540;
8543;8542;
8544;8543;
8545;8544;
8546;8545;
8548;8547;
8549;8548;
8550;8549;
8552;8551;
8553;8552;
8554;8553;
8555;8554;
8556;8555;
8557;8556;
8558;8557;
8335;8561;
8335;65268;
8335;8559;
64769;8335;
64769;8561;
65747;64769;
65748;65120;
65750;65749;
65751;65747;
65751;65748;
65751;65750;
8568;65751;
65746;65120;
8571;8569;
8571;65746;
8572;8571;
8573;8568;
8573;8572;
65263;8573;
8576;8575;
8579;8576;
8579;8577;
8579;8578;
8580;8579;
8581;8580;
65343;65342;
8586;8585;
8587;8584;
8587;8586;
8588;8585;
8589;8588;
8590;8587;
8590;8589;
8591;8590;
8592;8591;
8593;8592;
8597;8594;
8597;8595;
8597;8596;
8598;8597;
8602;8599;
8602;8600;
8602;8601;
8603;8602;
8604;8341;
8605;8376;
8606;8605;
8607;8606;
8608;8607;
8609;8608;
8610;8609;
8612;8611;
8613;8612;
8614;8613;
8615;8614;
8616;8615;
8617;8616;
8618;8617;
8619;8497;
64491;64490;
64493;64492;
64054;65374;
64054;8626;
65173;64054;
8633;8632;
8635;8634;
8636;8635;
8639;8638;
8640;8637;
8640;8639;
8641;8636;
8641;8640;
8642;8641;
8643;8642;
8644;8643;
8645;8644;
8646;8643;
8647;8645;
8647;8646;
8648;8647;
8649;8648;
8650;8649;
8651;8650;
8652;8651;
64949;64940;
65885;8377;
65892;65882;
65892;65885;
8660;64941;
8660;65884;
8660;64949;
8660;65892;
8662;8660;
8662;8661;
8663;8662;
8664;8663;
8665;8664;
8668;8666;
8668;8667;
8669;8668;
8670;8669;
8671;8665;
8671;8670;
8378;8671;
8672;8378;
8673;8671;
8673;8378;
8379;8672;
8379;8673;
8674;8672;
8674;8379;
8675;8379;
8675;8673;
8380;8675;
8380;8674;
8676;8380;
8676;8675;
8677;8676;
8678;8677;
8679;8678;
8680;8677;
8681;8680;
8682;8679;
8682;8681;
8683;8682;
8684;8683;
8685;8381;
8686;8685;
8687;8381;
8688;8687;
8689;8686;
8689;8688;
8691;8686;
8691;8688;
8692;8691;
8693;8690;
8693;8692;
8694;8689;
8694;8693;
8695;8694;
8696;8695;
8697;8696;
8698;8697;
8700;8699;
8342;8701;
8702;8342;
8703;8702;
8704;8703;
8705;8704;
8706;8705;
8707;8706;
8708;8707;
8709;8369;
8709;8489;
8709;8491;
8710;8369;
8710;8489;
8710;8491;
8712;8711;
8715;8714;
8716;8713;
8716;8715;
8719;8718;
8721;8720;
8722;8712;
8722;8716;
8722;8717;
8722;8719;
8722;8721;
8723;8382;
65663;8723;
8726;8725;
8727;8726;
8728;8727;
8729;8712;
8729;8716;
8729;8717;
8729;8719;
8729;8721;
8730;8729;
8733;8732;
8735;8734;
8736;8735;
8737;8736;
8739;8738;
8740;8739;
8741;8740;
8747;8745;
8747;8746;
65381;8748;
65382;65381;
65383;65382;
8752;65383;
8753;8752;
8755;8754;
8756;8755;
65434;8756;
8758;8383;
8760;8759;
8762;8760;
8762;8761;
8763;8383;
8351;8758;
8351;8762;
8351;8763;
8764;8351;
8765;8351;
8765;8763;
8766;8351;
8766;8758;
8766;8762;
8767;8760;
8767;8761;
8768;8767;
8769;8768;
8352;8764;
8352;8766;
8352;8769;
8352;8765;
8770;8764;
8770;8352;
8771;8770;
8772;8771;
8773;8765;
8773;8352;
8774;8773;
8775;8764;
8775;8352;
8776;8766;
8776;8352;
8776;8769;
8384;8774;
8384;8775;
8384;8776;
8777;8774;
8777;8384;
8777;8775;
8778;8770;
8779;8777;
8779;8778;
8780;8772;
8780;8779;
8781;8774;
8781;8384;
8781;8775;
8782;8773;
8783;8351;
8783;8763;
8784;8783;
8785;8784;
8786;8785;
8787;8782;
8787;8786;
8788;8781;
8788;8787;
8789;8777;
8789;8778;
8790;8788;
8790;8789;
8791;8790;
65435;8780;
65435;8791;
65436;8793;
65437;65435;
65437;65436;
65438;65437;
8797;65434;
8797;65438;
65439;8753;
65439;8797;
65440;65439;
65441;65440;
8801;65441;
8802;8801;
8803;8802;
8804;8803;
65390;65389;
65391;65390;
65393;65392;
65394;65393;
65395;8812;
65396;65395;
64173;65395;
65463;65454;
8818;65463;
65397;65396;
65397;64173;
65397;8818;
65524;65523;
65524;8827;
8829;65523;
8829;8827;
64181;65524;
64181;8829;
65526;65525;
65526;8832;
8834;65525;
8834;8832;
64184;65526;
64184;8834;
64185;65524;
64185;8829;
64187;65526;
64187;8834;
8330;65410;
8330;65406;
8330;8825;
8330;64181;
8330;64185;
8330;64184;
8330;8837;
8330;65412;
8330;8839;
8330;64187;
65413;8330;
65413;64184;
65413;8837;
65413;65412;
65413;8839;
65413;64187;
8842;8330;
8842;64184;
8842;8837;
8842;65412;
8842;8839;
8842;64187;
65414;65413;
65414;8842;
8844;65413;
8844;8842;
65415;65414;
65415;8844;
65416;64191;
8850;8385;
8851;64191;
8852;65414;
8852;8844;
65402;64195;
65402;65401;
64200;65521;
8858;65521;
65403;64200;
65403;8858;
64204;65522;
65407;8330;
65407;65406;
65407;8825;
65407;64181;
65407;64185;
8863;8330;
8863;65406;
8863;8825;
8863;64181;
8863;64185;
65408;65407;
65408;8863;
8865;65407;
8865;8863;
65409;65408;
65409;8865;
8868;8385;
8869;65408;
8869;8865;
8873;8872;
8875;8874;
8876;8875;
8877;8873;
8877;8876;
8878;8877;
8879;8878;
8880;8877;
8881;8880;
8883;8882;
8884;8883;
8885;8884;
8887;8886;
8889;8887;
8889;8888;
8331;8890;
8331;8879;
8331;8881;
8331;8885;
8331;8889;
8891;8331;
8891;8879;
