Domain;Kingdom;Filum;Class;Organism;Organism Full Name;Year;Source
Eukaryotes;Animals;Vertebrates;Mammals;hsa;Homo sapiens (human);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ptr;Pan troglodytes (chimpanzee);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pps;Pan paniscus (bonobo);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ggo;Gorilla gorilla gorilla (western lowland gorilla);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pon;Pongo abelii (Sumatran orangutan);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;nle;Nomascus leucogenys (northern white-cheeked gibbon);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mcc;Macaca mulatta (rhesus monkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mcf;Macaca fascicularis (crab-eating macaque);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;csab;Chlorocebus sabaeus (green monkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;caty;Cercocebus atys (sooty mangabey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;rro;Rhinopithecus roxellana (golden snub-nosed monkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;rbb;Rhinopithecus bieti (black snub-nosed monkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;tfn;Trachypithecus francoisi (Francois's langur);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;cjc;Callithrix jacchus (white-tufted-ear marmoset);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;sbq;Saimiri boliviensis boliviensis (Bolivian squirrel monkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mmur;Microcebus murinus (gray mouse lemur);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mmu;Mus musculus (mouse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mcal;Mus caroli (Ryukyu mouse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mpah;Mus pahari (shrew mouse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;rno;Rattus norvegicus (rat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mcoc;Mastomys coucha (southern multimammate mouse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mun;Meriones unguiculatus (Mongolian gerbil);;RefSeq
